Algorithm, Search strategy, query, time(ms, #configurations, #markings
global, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 501.341, 1561, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-2 F, 15.956, 1755, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 24.537, 591, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 11.141, 786, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.019, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.119, 39, 14
global, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 4.797, 588, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 0.11, 29, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.025, 2, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.053, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.094, 5, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.06, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.057, 11, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.057, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 2.548, 591, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 1.661, 586, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.146, 39, 14
local, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.03, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.068, 5, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.148, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.07, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.042, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 6.328, 1561, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 2.756, 786, 195
