Algorithm, Search strategy, query, time(ms, #configurations, #markings
czero, BBFS, Dekker-PT-010-CTLCardinality-0 T, 1595.85, 12290, 6144
czero, BBFS, Dekker-PT-010-CTLCardinality-4 T, 1640.72, 12289, 6144
czero, BBFS, Dekker-PT-010-CTLCardinality-5 F, 1679.95, 12303, 6144
czero, BBFS, Dekker-PT-010-CTLCardinality-3 F, 1677.87, 12302, 6144
czero, BBFS, Dekker-PT-010-CTLCardinality-9 F, 1652.11, 18447, 6144
czero, BBFS, Dekker-PT-010-CTLCardinality-12 T, 1209.99, 24577, 6144
czero, BBFS, Dekker-PT-010-CTLCardinality-13 T, 1177.89, 18518, 6144
czero, BBFS, Dekker-PT-010-CTLCardinality-15 F, 1.765, 235, 111
czero, BDFS, Dekker-PT-010-CTLCardinality-2 F, 3061.16, 67575, 6144
czero, BDFS, Dekker-PT-010-CTLCardinality-7 T, 2564.47, 55306, 6144
czero, BDFS, Dekker-PT-010-CTLCardinality-8 F, 915.334, 12288, 6144
czero, BDFS, Dekker-PT-010-CTLCardinality-14 T, 0.021, 1, 0
czero, BestFS, Dekker-PT-010-CTLCardinality-13 T, 50677.2, 18518, 6144
czero, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.017, 1, 0
czero, BestFS, Dekker-PT-010-CTLCardinality-15 F, 1.383, 159, 111
czero, BFS, Dekker-PT-010-CTLCardinality-6 F, 8978.02, 61443, 6144
czero, BFS, Dekker-PT-010-CTLCardinality-2 F, 3524.71, 65988, 6144
czero, BFS, Dekker-PT-010-CTLCardinality-10 F, 3317.26, 24576, 6144
czero, BFS, Dekker-PT-010-CTLCardinality-8 F, 1707.07, 12288, 6144
czero, BFS, Dekker-PT-010-CTLCardinality-3 F, 1517.01, 12302, 6144
czero, BFS, Dekker-PT-010-CTLCardinality-13 T, 1033.66, 18518, 6144
czero, BFS, Dekker-PT-010-CTLCardinality-14 T, 0.061, 1, 0
czero, CDFS, Dekker-PT-010-CTLCardinality-10 F, 10686.4, 24576, 6144
czero, CDFS, Dekker-PT-010-CTLCardinality-7 T, 2239.09, 48848, 6144
