Algorithm, Search strategy, Query, Modelname, #Results)
local, BestFS, CTLFireabilitySimple, MAPK-PT-020, 12
local, BestFS, CTLCardinality, MAPK-PT-040, 
local, BestFS, CTLFireability, MAPK-PT-040, 1
local, BestFS, CTLFireabilitySimple, MAPK-PT-040, 8
local, BestFS, CTLCardinality, MAPK-PT-080, 
local, BestFS, CTLFireability, MAPK-PT-080, 3
local, BestFS, CTLFireabilitySimple, MAPK-PT-080, 7
local, BestFS, CTLCardinality, MAPK-PT-160, 
local, BestFS, CTLFireability, MAPK-PT-160, 2
local, BestFS, CTLFireabilitySimple, MAPK-PT-160, 4
local, BestFS, CTLCardinality, MAPK-PT-320, 
local, BestFS, CTLFireability, MAPK-PT-320, 3
local, BestFS, CTLFireabilitySimple, MAPK-PT-320, 5
local, BestFS, CTLCardinality, MultiwaySync-PT-none, 
local, BestFS, CTLFireability, MultiwaySync-PT-none, 
local, BestFS, CTLFireabilitySimple, MultiwaySync-PT-none, 
local, BestFS, CTLCardinality, PermAdmissibility-PT-01, 16
local, BestFS, CTLFireability, PermAdmissibility-PT-01, 13
local, BestFS, CTLFireabilitySimple, PermAdmissibility-PT-01, 13
local, BestFS, CTLCardinality, PermAdmissibility-PT-02, 
local, BestFS, CTLFireability, PermAdmissibility-PT-02, 
local, BestFS, CTLFireabilitySimple, PermAdmissibility-PT-02, 
local, BestFS, CTLCardinality, PermAdmissibility-PT-05, 
local, BestFS, CTLFireability, PermAdmissibility-PT-05, 
local, BestFS, CTLFireabilitySimple, PermAdmissibility-PT-05, 
local, BestFS, CTLCardinality, Peterson-PT-2, 14
local, BestFS, CTLFireability, Peterson-PT-2, 15
local, BestFS, CTLFireabilitySimple, Peterson-PT-2, 13
local, BestFS, CTLCardinality, Peterson-PT-3, 1
local, BestFS, CTLFireability, Peterson-PT-3, 1
local, BestFS, CTLFireabilitySimple, Peterson-PT-3, 5
local, BestFS, CTLCardinality, Peterson-PT-4, 
local, BestFS, CTLFireability, Peterson-PT-4, 
local, BestFS, CTLFireabilitySimple, Peterson-PT-4, 
local, BestFS, CTLCardinality, PhilosophersDyn-PT-03, 15
local, BestFS, CTLFireability, PhilosophersDyn-PT-03, 12
local, BestFS, CTLFireabilitySimple, PhilosophersDyn-PT-03, 14
local, BestFS, CTLCardinality, PhilosophersDyn-PT-10, 3
local, BestFS, CTLFireability, PhilosophersDyn-PT-10, 2
local, BestFS, CTLFireabilitySimple, PhilosophersDyn-PT-10, 7
