Algorithm, Search strategy, Query, Modelname, #Results),
global, BDFS, CTLCardinality, Peterson-PT-4, ,
global, BDFS, CTLFireability, Peterson-PT-4, ,
global, BDFS, CTLFireabilitySimple, Peterson-PT-4, ,
global, BDFS, CTLCardinality, PhilosophersDyn-PT-03,14,
global, BDFS, CTLFireability, PhilosophersDyn-PT-03,15,
global, BDFS, CTLFireabilitySimple, PhilosophersDyn-PT-03,13,
global, BDFS, CTLCardinality, PhilosophersDyn-PT-10, ,
global, BDFS, CTLFireability, PhilosophersDyn-PT-10, ,
global, BDFS, CTLFireabilitySimple, PhilosophersDyn-PT-10, ,
global, BDFS, CTLCardinality, PhilosophersDyn-PT-20,1,
global, BDFS, CTLFireability, PhilosophersDyn-PT-20, ,
global, BDFS, CTLFireabilitySimple, PhilosophersDyn-PT-20, ,
global, BDFS, CTLCardinality, Planning-PT-none, ,
global, BDFS, CTLFireability, Planning-PT-none, ,
global, BDFS, CTLFireabilitySimple, Planning-PT-none, ,
global, BDFS, CTLCardinality, ProductionCell-PT-none, ,
global, BDFS, CTLFireability, ProductionCell-PT-none, ,
global, BDFS, CTLFireabilitySimple, ProductionCell-PT-none, ,
global, BDFS, CTLCardinality, Railroad-PT-005,13,
global, BDFS, CTLFireability, Railroad-PT-005,15,
global, BDFS, CTLFireabilitySimple, Railroad-PT-005,13,
global, BDFS, CTLCardinality, Railroad-PT-010,2,
global, BDFS, CTLFireability, Railroad-PT-010, ,
global, BDFS, CTLFireabilitySimple, Railroad-PT-010, ,
global, BDFS, CTLCardinality, Railroad-PT-020, ,
global, BDFS, CTLFireability, Railroad-PT-020, ,
global, BDFS, CTLFireabilitySimple, Railroad-PT-020, ,
global, BDFS, CTLCardinality, ResAllocation-PT-R002C002,13,
global, BDFS, CTLFireability, ResAllocation-PT-R002C002,12,
global, BDFS, CTLFireabilitySimple, ResAllocation-PT-R002C002,15,
global, BDFS, CTLCardinality, ResAllocation-PT-R003C002,13,
global, BDFS, CTLFireability, ResAllocation-PT-R003C002,11,
global, BDFS, CTLFireabilitySimple, ResAllocation-PT-R003C002,13,
global, BDFS, CTLCardinality, ResAllocation-PT-R003C003,14,
global, BDFS, CTLFireability, ResAllocation-PT-R003C003,15,
global, BDFS, CTLFireabilitySimple, ResAllocation-PT-R003C003,12,
global, BDFS, CTLCardinality, Ring-PT-none, ,
global, BDFS, CTLFireability, Ring-PT-none, ,
global, BDFS, CTLFireabilitySimple, Ring-PT-none, ,
global, BDFS, CTLCardinality, RwMutex-PT-r0010w0010,13,
global, BDFS, CTLFireability, RwMutex-PT-r0010w0010,14,
global, BDFS, CTLFireabilitySimple, RwMutex-PT-r0010w0010,13,
global, BDFS, CTLCardinality, RwMutex-PT-r0010w0020,15,
global, BDFS, CTLFireability, RwMutex-PT-r0010w0020,15,
global, BDFS, CTLFireabilitySimple, RwMutex-PT-r0010w0020,11,
global, BDFS, CTLCardinality, RwMutex-PT-r0010w0050,16,
global, BDFS, CTLFireability, RwMutex-PT-r0010w0050,14,
global, BDFS, CTLFireabilitySimple, RwMutex-PT-r0010w0050,13,
global, BDFS, CTLCardinality, SharedMemory-PT-000005,14,
global, BDFS, CTLFireability, SharedMemory-PT-000005,14,
global, BDFS, CTLFireabilitySimple, SharedMemory-PT-000005,15,
global, BDFS, CTLCardinality, SharedMemory-PT-000010,1,
global, BDFS, CTLFireability, SharedMemory-PT-000010, ,
global, BDFS, CTLFireabilitySimple, SharedMemory-PT-000010, ,
global, BDFS, CTLCardinality, SharedMemory-PT-000020, ,
global, BDFS, CTLFireability, SharedMemory-PT-000020, ,
global, BDFS, CTLFireabilitySimple, SharedMemory-PT-000020, ,
global, BDFS, CTLCardinality, SimpleLoadBal-PT-02,15,
global, BDFS, CTLFireability, SimpleLoadBal-PT-02,15,
global, BDFS, CTLFireabilitySimple, SimpleLoadBal-PT-02,10,
global, BDFS, CTLCardinality, SimpleLoadBal-PT-05,8,
global, BDFS, CTLFireability, SimpleLoadBal-PT-05,8,
global, BDFS, CTLFireabilitySimple, SimpleLoadBal-PT-05,16,
global, BDFS, CTLCardinality, SimpleLoadBal-PT-10, ,
global, BDFS, CTLFireability, SimpleLoadBal-PT-10, ,
global, BDFS, CTLFireabilitySimple, SimpleLoadBal-PT-10, ,
global, BDFS, CTLCardinality, TokenRing-PT-005,15,
global, BDFS, CTLFireability, TokenRing-PT-005,11,
global, BDFS, CTLFireabilitySimple, TokenRing-PT-005,16,
global, BDFS, CTLCardinality, TokenRing-PT-010,10,
global, BDFS, CTLFireability, TokenRing-PT-010,1,
global, BDFS, CTLFireabilitySimple, TokenRing-PT-010,3,
global, BDFS, CTLCardinality, TokenRing-PT-015, ,
global, BDFS, CTLFireability, TokenRing-PT-015, ,
global, BDFS, CTLFireabilitySimple, TokenRing-PT-015, ,
global, BDFS, CTLCardinality, UtahNoC-PT-none, ,
global, BDFS, CTLFireability, UtahNoC-PT-none, ,
global, BDFS, CTLFireabilitySimple, UtahNoC-PT-none, ,
global, BDFS, CTLCardinality, Vasy2003-PT-none, ,
global, BDFS, CTLFireability, Vasy2003-PT-none, ,
global, BDFS, CTLFireabilitySimple, Vasy2003-PT-none, ,1368
