Algorithm, Search strategy, Query, Modelname, #Results),
czero, DFS, CTLFireabilitySimple, FMS-PT-010,9,
czero, DFS, CTLCardinality, FMS-PT-020,7,
czero, DFS, CTLFireability, FMS-PT-020,5,
czero, DFS, CTLFireabilitySimple, FMS-PT-020,13,
czero, DFS, CTLCardinality, GlobalResAllocation-PT-03,10,
czero, DFS, CTLFireability, GlobalResAllocation-PT-03,4,
czero, DFS, CTLFireabilitySimple, GlobalResAllocation-PT-03,2,
czero, DFS, CTLCardinality, HouseConstruction-PT-002,12,
czero, DFS, CTLFireability, HouseConstruction-PT-002,10,
czero, DFS, CTLFireabilitySimple, HouseConstruction-PT-002,12,
czero, DFS, CTLCardinality, HouseConstruction-PT-005,9,
czero, DFS, CTLFireability, HouseConstruction-PT-005,13,
czero, DFS, CTLFireabilitySimple, HouseConstruction-PT-005,13,
czero, DFS, CTLCardinality, HouseConstruction-PT-010,8,
czero, DFS, CTLFireability, HouseConstruction-PT-010,4,
czero, DFS, CTLFireabilitySimple, HouseConstruction-PT-010, ,
czero, DFS, CTLCardinality, IBMB2S565S3960-PT-none,6,
czero, DFS, CTLFireability, IBMB2S565S3960-PT-none,11,
czero, DFS, CTLFireabilitySimple, IBMB2S565S3960-PT-none,11,
czero, DFS, CTLCardinality, Kanban-PT-0005,8,
czero, DFS, CTLFireability, Kanban-PT-0005,8,
czero, DFS, CTLFireabilitySimple, Kanban-PT-0005,14,
czero, DFS, CTLCardinality, Kanban-PT-0010,4,
czero, DFS, CTLFireability, Kanban-PT-0010,8,
czero, DFS, CTLFireabilitySimple, Kanban-PT-0010,9,
czero, DFS, CTLCardinality, Kanban-PT-0020,8,
czero, DFS, CTLFireability, Kanban-PT-0020,11,
czero, DFS, CTLFireabilitySimple, Kanban-PT-0020,15,
czero, DFS, CTLCardinality, LamportFastMutEx-PT-2,14,
czero, DFS, CTLFireability, LamportFastMutEx-PT-2,13,
czero, DFS, CTLFireabilitySimple, LamportFastMutEx-PT-2,11,
czero, DFS, CTLCardinality, LamportFastMutEx-PT-3,14,
czero, DFS, CTLFireability, LamportFastMutEx-PT-3,15,
czero, DFS, CTLFireabilitySimple, LamportFastMutEx-PT-3,14,
czero, DFS, CTLCardinality, LamportFastMutEx-PT-4,3,
czero, DFS, CTLFireability, LamportFastMutEx-PT-4,5,
czero, DFS, CTLFireabilitySimple, LamportFastMutEx-PT-4,13,
czero, DFS, CTLCardinality, MAPK-PT-008,5,
czero, DFS, CTLFireability, MAPK-PT-008,11,
czero, DFS, CTLFireabilitySimple, MAPK-PT-008,15,
czero, DFS, CTLCardinality, MAPK-PT-020,3,
czero, DFS, CTLFireability, MAPK-PT-020,3,
czero, DFS, CTLFireabilitySimple, MAPK-PT-020,10,
czero, DFS, CTLCardinality, MAPK-PT-040, ,
czero, DFS, CTLFireability, MAPK-PT-040,1,
czero, DFS, CTLFireabilitySimple, MAPK-PT-040,9,
czero, DFS, CTLCardinality, MAPK-PT-080, ,
czero, DFS, CTLFireability, MAPK-PT-080,5,
czero, DFS, CTLFireabilitySimple, MAPK-PT-080,7,
czero, DFS, CTLCardinality, MAPK-PT-160, ,
czero, DFS, CTLFireability, MAPK-PT-160,7,
czero, DFS, CTLFireabilitySimple, MAPK-PT-160,6,
czero, DFS, CTLCardinality, MAPK-PT-320, ,
czero, DFS, CTLFireability, MAPK-PT-320,4,
czero, DFS, CTLFireabilitySimple, MAPK-PT-320,10,
czero, DFS, CTLCardinality, MultiwaySync-PT-none, ,
