Algorithm, Search strategy, query, time(ms, #configurations, #markings
global, BDFS, CSRepetitions-COL-02-CTLFireabilitySimple-8 F, 183.432, 22273, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireabilitySimple-15 T, 171.141, 22273, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireabilitySimple-12 T, 170.194, 22273, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireabilitySimple-11 F, 165.054, 22271, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireabilitySimple-13 F, 168.234, 22273, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireabilitySimple-5 F, 125.02, 14848, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireabilitySimple-1 F, 120.285, 14848, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireabilitySimple-2 F, 119.141, 14848, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireabilitySimple-9 F, 0.068, 5, 4
global, BDFS, CSRepetitions-COL-02-CTLFireabilitySimple-10 F, 0.044, 5, 4
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 93.844, 1683, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 9.712, 2299, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 5.512, 766, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 4.623, 1377, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 7.753, 1381, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 2.251, 1072, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 6.251, 459, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 0.072, 2, 0
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 4.367, 1224, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 2.315, 310, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 2.063, 480, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-3 F, 1.809, 313, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLCardinality-4 F, 0.056, 1, 0
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-7 F, 223.837, 2167, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-11 F, 151.603, 1531, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-8 F, 68.82, 1530, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-9 F, 10.812, 1538, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-10 F, 11.976, 1377, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-5 F, 7.8, 1232, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-15 T, 6.167, 767, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-3 T, 15.06, 2008, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-12 F, 8.235, 1086, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-14 T, 2.896, 385, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-1 T, 10.444, 1249, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-13 F, 0.05, 1, 0
global, BDFS, DatabaseWithMutex-COL-02-CTLFireability-2 T, 0.444, 58, 4
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-11 T, 3.675, 459, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-14 F, 3.406, 459, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-4 F, 0.073, 460, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-9 F, 3.407, 5, 4
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-13 F, 0.112, 460, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-12 F, 3.376, 5, 4
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-15 F, 3.617, 460, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-5 F, 3.651, 459, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-3 F, 3.216, 460, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-10 F, 3.319, 460, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-2 F, 3.393, 460, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-8 F, 3.667, 459, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-7 F, 3.691, 459, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-6 F, 3.372, 460, 153
global, BDFS, DatabaseWithMutex-COL-02-CTLFireabilitySimple-1 T, 2.516, 306, 153
global, BDFS, Dekker-PT-010-CTLCardinality-13 T, 1696.17, 18518, 6144
global, BDFS, Dekker-PT-010-CTLCardinality-10 F, 1261.24, 24576, 6144
global, BDFS, Dekker-PT-010-CTLCardinality-11 F, 1255.75, 30732, 6144
global, BDFS, Dekker-PT-010-CTLCardinality-15 F, 1135.27, 36878, 6144
global, BDFS, Dekker-PT-010-CTLCardinality-12 T, 730.299, 24577, 6144
global, BDFS, Dekker-PT-010-CTLCardinality-9 F, 659.868, 18447, 6144
global, BDFS, Dekker-PT-010-CTLCardinality-5 F, 577.471, 12303, 6144
global, BDFS, Dekker-PT-010-CTLCardinality-8 F, 552.716, 12288, 6144
global, BDFS, Dekker-PT-010-CTLCardinality-14 T, 0.054, 1, 0
global, BDFS, Dekker-PT-010-CTLFireability-13 T, 2493.79, 49153, 6144
global, BDFS, Dekker-PT-010-CTLFireability-7 F, 2107.95, 30722, 6144
global, BDFS, Dekker-PT-010-CTLFireability-3 T, 1733.83, 30721, 6144
global, BDFS, Dekker-PT-010-CTLFireability-11 F, 1686.62, 43008, 6144
global, BDFS, Dekker-PT-010-CTLFireability-12 T, 1660.59, 30720, 6144
global, BDFS, Dekker-PT-010-CTLFireability-9 F, 2.003, 87, 10
global, BDFS, Dekker-PT-010-CTLFireability-14 F, 0.075, 1, 0
global, BDFS, Dekker-PT-010-CTLFireability-15 F, 0.064, 1, 0
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-4 F, 1068.44, 18432, 6144
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-6 F, 1031.05, 18432, 6144
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-1 F, 1000, 18432, 6144
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-14 F, 987.038, 18432, 6144
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-15 T, 967.906, 18432, 6144
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-12 T, 927.48, 18432, 6144
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-8 F, 903.803, 18432, 6144
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-3 F, 879.334, 18433, 6144
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-9 T, 749.139, 12288, 6144
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-11 T, 733.465, 12288, 6144
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-10 F, 694.83, 12288, 6144
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-13 F, 0.377, 11, 10
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-7 F, 0.346, 11, 10
global, BDFS, Dekker-PT-010-CTLFireabilitySimple-5 F, 0.424, 11, 10
global, BDFS, Dekker-PT-015-CTLCardinality-7 F, 203136, 1392640, 278528
global, BDFS, Dekker-PT-015-CTLCardinality-10 F, 167155, 1392652, 278528
global, BDFS, Dekker-PT-015-CTLCardinality-14 F, 135129, 1392640, 278528
global, BDFS, Dekker-PT-015-CTLCardinality-13 F, 132898, 2785280, 278528
global, BDFS, Dekker-PT-015-CTLCardinality-3 F, 130199, 1392640, 278528
global, BDFS, Dekker-PT-015-CTLCardinality-5 F, 129203, 1671170, 278528
global, BDFS, Dekker-PT-015-CTLCardinality-15 F, 73536.4, 3620864, 278528
global, BDFS, Dekker-PT-015-CTLCardinality-9 F, 69288, 1671168, 278528
global, BDFS, Dekker-PT-015-CTLCardinality-8 F, 66638.1, 1671170, 278528
