Algorithm, Search strategy, query, time(ms, #configurations, #markings
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-13 F, 5288.41, 259546, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-2 F, 5189.95, 259546, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-15 F, 5176.53, 259546, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-14 F, 5141.83, 259546, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-4 F, 4803.71, 259546, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-5 F, 4782.36, 259546, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-12 T, 2348.22, 173030, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-3 T, 2317.77, 173030, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-6 T, 2301.33, 173029, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-11 T, 2282.27, 173030, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-7 T, 2149.05, 173030, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-8 T, 2135, 173030, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-0 T, 2083.89, 173030, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-1 T, 2079.57, 173029, 86515
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-9 T, 2038.22, 173030, 86515
local, BestFS, CircularTrains-PT-048-CTLCardinality-10 T, 156.786, 18091, 7722
local, BestFS, CircularTrains-PT-048-CTLCardinality-13 F, 95.447, 13011, 7722
local, BestFS, CircularTrains-PT-048-CTLCardinality-6 T, 92.105, 10369, 7722
local, BestFS, CircularTrains-PT-048-CTLCardinality-5 F, 93.398, 10368, 7722
local, BestFS, CircularTrains-PT-048-CTLFireability-13 F, 408.308, 26026, 7722
local, BestFS, CSRepetitions-COL-02-CTLCardinality-2 F, 906.069, 44544, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-10 T, 675.377, 66812, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-8 F, 668.977, 44545, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-5 F, 562.405, 29697, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-3 T, 562.502, 29697, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-9 F, 498.863, 81665, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 485.912, 26568, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-14 F, 447.601, 51968, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-11 F, 432.297, 44545, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-7 T, 427.67, 59392, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-6 T, 428.373, 37120, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-13 F, 415.79, 81664, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-12 T, 397.936, 37121, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-1 T, 378.903, 51969, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-4 T, 347.786, 37138, 7424
local, BestFS, CSRepetitions-COL-02-CTLFireability-7 F, 1273.59, 66817, 7424
local, BestFS, CSRepetitions-COL-02-CTLFireability-9 F, 1171.81, 89088, 7424
