Algorithm, Search strategy, Query, Modelname, #Results)
czero, CDFS, CTLCardinality, ERK-PT-000010, 12
czero, DFS, CTLCardinality, ERK-PT-000010, 15
global, BBFS, CTLCardinality, ERK-PT-000010, 11
global, BDFS, CTLCardinality, ERK-PT-000010, 9
global, BestFS, CTLCardinality, ERK-PT-000010, 5
global, BFS, CTLCardinality, ERK-PT-000010, 11
global, DFS, CTLCardinality, ERK-PT-000010, 9
local, BBFS, CTLCardinality, ERK-PT-000010, 15
local, BDFS, CTLCardinality, ERK-PT-000010, 13
local, BestFS, CTLCardinality, ERK-PT-000010, 13
local, BFS, CTLCardinality, ERK-PT-000010, 11
local, DFS, CTLCardinality, ERK-PT-000010, 14
czero, BBFS, CTLCardinality, HouseConstruction-PT-002, 13
czero, BDFS, CTLCardinality, HouseConstruction-PT-002, 14
czero, BestFS, CTLCardinality, HouseConstruction-PT-002, 10
czero, BFS, CTLCardinality, HouseConstruction-PT-002, 13
czero, CDFS, CTLCardinality, HouseConstruction-PT-002, 12
czero, DFS, CTLCardinality, HouseConstruction-PT-002, 14
global, BBFS, CTLCardinality, HouseConstruction-PT-002, 15
global, BDFS, CTLCardinality, HouseConstruction-PT-002, 14
global, BestFS, CTLCardinality, HouseConstruction-PT-002, 13
global, BFS, CTLCardinality, HouseConstruction-PT-002, 15
global, DFS, CTLCardinality, HouseConstruction-PT-002, 12
local, BBFS, CTLCardinality, HouseConstruction-PT-002, 15
local, BDFS, CTLCardinality, HouseConstruction-PT-002, 14
local, BestFS, CTLCardinality, HouseConstruction-PT-002, 13
local, BFS, CTLCardinality, HouseConstruction-PT-002, 14
local, DFS, CTLCardinality, HouseConstruction-PT-002, 15
czero, BBFS, CTLCardinality, HouseConstruction-PT-005, 7
czero, BDFS, CTLCardinality, HouseConstruction-PT-005, 5
czero, BestFS, CTLCardinality, HouseConstruction-PT-005, 3
czero, BFS, CTLCardinality, HouseConstruction-PT-005, 8
czero, CDFS, CTLCardinality, HouseConstruction-PT-005, 11
czero, DFS, CTLCardinality, HouseConstruction-PT-005, 15
global, BBFS, CTLCardinality, HouseConstruction-PT-005, 3
global, BDFS, CTLCardinality, HouseConstruction-PT-005, 4
global, BestFS, CTLCardinality, HouseConstruction-PT-005, 
global, BFS, CTLCardinality, HouseConstruction-PT-005, 2
global, DFS, CTLCardinality, HouseConstruction-PT-005, 3
local, BBFS, CTLCardinality, HouseConstruction-PT-005, 13
local, BDFS, CTLCardinality, HouseConstruction-PT-005, 11
local, BestFS, CTLCardinality, HouseConstruction-PT-005, 4
