Algorithm, Search strategy, query, time(ms, #configurations, #markings
local, BestFS, CircadianClock-PT-000001-CTLCardinality-2 F, 2.001, 385, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 1.369, 260, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-5 F, 1.88, 515, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-3 F, 1.156, 397, 128
czero, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 5.389, 1561, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 1.742, 586, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 1.743, 591, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 1.9, 786, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.138, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.032, 5, 4
czero, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.118, 39, 14
czero, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.014, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.087, 11, 4
czero, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.022, 2, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.017, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.019, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-2 F, 0.07, 31, 14
global, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 360.81, 1561, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 18.451, 591, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 5.725, 588, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 6.664, 786, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-2 F, 10.124, 1755, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.045, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.055, 2, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.168, 5, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.163, 39, 14
global, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.115, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.069, 29, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.047, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.021, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 1.65, 586, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 5.424, 1561, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.078, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.113, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 1.767, 591, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.199, 39, 14
local, BestFS, CircularTrains-PT-012-CTLCardinality-1 F, 0.466, 203, 98
local, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.028, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 1.613, 786, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.084, 5, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.053, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.106, 29, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.057, 2, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.044, 11, 4
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-8 F, 890.043, 44545, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-14 F, 876.949, 51968, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-10 T, 848.601, 66812, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-13 F, 789.219, 81664, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-5 F, 719.908, 29697, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-9 F, 576.336, 81665, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-12 T, 555.163, 37121, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-11 F, 546.441, 44545, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 508.573, 26601, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-7 T, 457.059, 59392, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-4 T, 421.9, 37138, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-0 F, 0.473, 154, 119
global, BestFS, CSRepetitions-COL-02-CTLCardinality-1 T, 44765.9, 51969, 7424
global, BestFS, CSRepetitions-COL-02-CTLCardinality-4 T, 35748.3, 37138, 7424
global, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 11997.9, 29696, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-2 F, 962.41, 44544, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-10 T, 729.879, 66812, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-8 F, 703.724, 44545, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-5 F, 587.951, 29697, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-9 F, 554.35, 81665, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-3 T, 563.713, 29697, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-11 F, 449.434, 44545, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-13 F, 442.163, 81664, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-14 F, 430.792, 51968, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-6 T, 414.891, 37120, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-12 T, 392.586, 37121, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-7 T, 389.268, 59392, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 330.521, 26601, 7424
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 0.142, 9, 0
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 1.971, 459, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-4 F, 5.305, 1683, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 1.447, 310, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 1.95, 475, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 0.082, 1, 0
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-3 F, 1.238, 256, 133
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 0.118, 2, 0
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 1.855, 667, 113
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 3.468, 1377, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 3.452, 766, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 2.285, 1076, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 3.074, 1144, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-2 T, 3.205, 1832, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 170.316, 1683, 153
