Algorithm, Search strategy, query, time(ms, #configurations, #markings
local, BestFS, CSRepetitions-COL-02-CTLCardinality-13 F, 467.924, 81664, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-6 T, 461.846, 37120, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-4 T, 427.537, 37138, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 417.181, 26616, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-0 F, 3.744, 1016, 638
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 2.845, 1090, 138
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 2.025, 610, 135
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 2.45, 1076, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 4.047, 1364, 149
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 2.249, 774, 129
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 1.639, 310, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 0.063, 2, 0
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 0.101, 23, 4
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 1.297, 425, 147
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-1 T, 2.344, 1304, 138
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-2 T, 2.025, 459, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 3.37, 938, 149
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 3.965, 919, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-3 F, 1.203, 253, 133
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-4 F, 0.04, 1, 0
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 195.171, 1683, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 24.686, 2299, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 20.78, 1381, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 11.58, 1377, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 8.299, 1224, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 8.665, 766, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 4.244, 310, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 2.625, 459, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 10.634, 1072, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 3.08, 480, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 0.069, 2, 0
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-3 F, 2.104, 313, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-1 T, 3.941, 919, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 4.107, 938, 149
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 5.223, 1364, 149
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 2.821, 1090, 138
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 2.09, 459, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 2.531, 610, 135
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 2.513, 774, 129
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 1.84, 310, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 0.067, 2, 0
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 0.191, 54, 14
czero, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.042, 1, 0
global, BestFS, Dekker-PT-010-CTLCardinality-15 F, 14867.2, 36878, 6144
global, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.042, 1, 0
local, BestFS, Dekker-PT-010-CTLCardinality-15 F, 7.209, 301, 111
local, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.054, 1, 0
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 122.733, 10246, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 83.604, 3089, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-3 F, 88.879, 7205, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 54.352, 5121, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 54.002, 4597, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 44.929, 3073, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 46.756, 6144, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 59.392, 7070, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 46.195, 3073, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 31.634, 5002, 1005
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 19.259, 3566, 602
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 3.942, 719, 342
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 0.059, 18, 0
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-3 F, 2979.36, 7237, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 2343.83, 3089, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 2092.69, 10246, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 767.723, 13348, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 538.325, 9218, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 448.739, 5121, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 319.139, 3073, 1024
