Algorithm, Search strategy, query, time(ms, #configurations, #markings
czero, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.029, 5, 4
czero, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.091, 39, 14
global, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 384.607, 1561, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 8.061, 786, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 19.792, 591, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.196, 39, 14
global, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 5.182, 588, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 0.086, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.058, 2, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.044, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-0 T, 4.077, 395, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.033, 5, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.083, 11, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.181, 29, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.02, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.044, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 6.057, 1561, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.049, 5, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 1.64, 586, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 0.045, 2, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-2 F, 2.088, 1123, 177
local, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.057, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.124, 39, 14
local, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.128, 29, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.022, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.051, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 1.735, 591, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 1.931, 786, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-1 F, 0.578, 203, 98
local, BestFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.076, 11, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.054, 1, 0
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-2 F, 2198.73, 44544, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-8 F, 951.153, 44545, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-10 T, 945.42, 66812, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-14 F, 853.556, 51968, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-13 F, 847.831, 81664, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 746.179, 26568, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-3 T, 736.951, 29697, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-9 F, 731.839, 81665, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-5 F, 699.348, 29697, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-7 T, 630.187, 59392, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-6 T, 587.336, 37120, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-4 T, 544.684, 37138, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-11 F, 552.458, 44545, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-12 T, 536.734, 37121, 7424
global, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 11756.5, 29696, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-2 F, 908.847, 44544, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-10 T, 818.362, 66812, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-8 F, 737.761, 44545, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-5 F, 547.735, 29697, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-7 T, 515.142, 59392, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 479.829, 26568, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-13 F, 469.147, 81664, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-9 F, 474.63, 81665, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-1 T, 449.662, 51969, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-12 T, 441.262, 37121, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-14 F, 430.135, 51968, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-6 T, 419.159, 37120, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-11 F, 379.517, 44545, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-4 T, 336.595, 37138, 7424
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 6.255, 1683, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 1.79, 310, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 3.884, 1377, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 2.795, 1076, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 2.489, 667, 113
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 1.559, 477, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 3.097, 1144, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 1.887, 459, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 0.054, 2, 0
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 0.138, 9, 0
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-0 F, 3.663, 1531, 153
czero, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-4 F, 0.021, 1, 0
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 182.783, 1683, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 21.804, 2299, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 16.6, 1381, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 10.767, 1072, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 8.77, 1377, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 2.447, 480, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 2.955, 459, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 6.805, 766, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 0.069, 2, 0
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 3.194, 310, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-3 F, 1.873, 313, 153
global, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 7.864, 1224, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 7.717, 2299, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 5.677, 1276, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 5.937, 1683, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 4.653, 1377, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 3.185, 1144, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 2.717, 667, 113
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 2, 459, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 0.265, 54, 14
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 2.673, 766, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 1.059, 256, 133
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-3 F, 1.617, 310, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-2 T, 3.407, 1832, 153
local, BestFS, DatabaseWithMutex-COL-02-CTLCardinality-4 F, 0.017, 1, 0
czero, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.05, 1, 0
czero, BestFS, Dekker-PT-010-CTLCardinality-15 F, 1.227, 159, 111
global, BestFS, Dekker-PT-010-CTLCardinality-15 F, 10010.5, 36878, 6144
global, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.034, 1, 0
local, BestFS, Dekker-PT-010-CTLCardinality-15 F, 1.927, 301, 111
local, BestFS, Dekker-PT-010-CTLCardinality-14 T, 0.055, 1, 0
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 139.959, 10246, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 98.043, 3089, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-1 F, 75.477, 5134, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 61.37, 8484, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 57.054, 5144, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 47.838, 6144, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 47.771, 5121, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 55.145, 6144, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 40.393, 3073, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 41.313, 3073, 1024
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 39.122, 7020, 984
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 0.142, 7, 0
czero, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 1.717, 443, 205
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-3 F, 3178.39, 7237, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 2337.11, 3089, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 1914.87, 10246, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-15 T, 495.519, 13348, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 427.073, 9218, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-9 T, 421.329, 5121, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-2 F, 322.993, 7168, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 308.761, 3073, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-7 T, 296.52, 3073, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 288.145, 5144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 216.277, 6144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-11 F, 130.263, 6144, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 77.563, 3133, 1024
global, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 0.161, 18, 0
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-6 F, 113.562, 10246, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-5 T, 81.825, 3089, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-3 F, 79.65, 7237, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-14 T, 60.733, 8484, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-10 T, 54.916, 5144, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-8 T, 43.685, 6144, 1024
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-4 F, 40.077, 3073, 1024
